FL_DATE;CANCELLED;FLIGHTS;DISTANCE
2018-05-17;164;20739;796.5343073
2018-05-18;160;20805;795.7138669
2018-05-19;116;16593;836.0550835
2018-05-20;328;19833;807.9264862
2018-05-21;199;20745;795.8538925
2018-05-22;203;20051;788.7577178
2018-05-23;64;20452;790.4764815
2018-05-24;37;20985;796.3768883
2018-05-25;78;21002;796.1160842
2018-05-26;40;16376;833.8423913
2018-05-27;108;16696;830.0683996
2018-05-28;50;19709;808.2585621
2018-05-29;77;20334;788.5082128
2018-05-30;356;20275;796.1469297
2018-05-31;500;20445;799.4686231
2018-06-01;332;20659;796.6807687
2018-06-02;266;16544;837.7314434
2018-06-03;203;20006;809.6638508
2018-06-04;166;20842;798.3598023
2018-06-05;51;20364;790.7089963
2018-06-06;64;20588;794.3537983
2018-06-07;238;21285;806.3035001
2018-06-08;261;21495;806.3774831
2018-06-09;177;18197;847.6140573
2018-06-10;385;20621;820.0568838
2018-06-11;194;21588;805.467204
2018-06-12;79;21284;802.8597538
2018-06-13;114;21393;804.9179638
2018-06-14;371;21362;810.9942889
2018-06-15;679;21143;816.6140094
2018-06-16;233;18238;850.1582959
2018-06-17;544;20526;826.2367242
2018-06-18;1053;20770;822.6083775
2018-06-19;1564;19887;824.6055715
2018-06-20;669;20940;814.3723973
2018-06-21;310;21507;808.2294602
2018-06-22;207;21666;806.8794886
2018-06-23;123;18391;846.2531673
2018-06-24;408;20674;818.8116958
2018-06-25;259;21570;807.4648586
2018-06-26;800;20654;811.389755
2018-06-27;217;21413;807.0970439
2018-06-28;467;21369;811.6464973
2018-06-29;182;21724;808.435325
2018-06-30;78;18799;847.8507367
2018-07-01;240;19745;830.5228159
2018-07-02;212;19515;821.7205739
2018-07-03;170;17554;839.2917853
2018-07-04;86;16754;842.5994389
2018-07-05;261;19388;826.839901
2018-07-06;328;20065;823.0380763
2018-07-07;79;18648;851.5405405
2018-07-08;90;21161;822.0949388
2018-07-09;219;21737;811.7464231
2018-07-10;231;21397;810.22849
2018-07-11;123;21613;810.6076898
2018-07-12;427;21539;814.0964762
2018-07-13;171;21851;809.1231065
2018-07-14;90;18576;851.266096
2018-07-15;667;20595;827.3625152
2018-07-16;291;21667;813.4503161
2018-07-17;1309;20303;814.9610402
2018-07-18;176;21566;810.8570899
2018-07-19;118;21826;810.3703839
2018-07-20;256;21746;811.1998528
2018-07-21;117;18548;852.2778197
2018-07-22;568;20672;822.9845685
2018-07-23;1164;20791;815.1226492
2018-07-24;873;20730;812.5479016
2018-07-25;542;21179;812.6678786
2018-07-26;175;21759;810.6492486
2018-07-27;1273;20724;815.1513221
2018-07-28;188;18458;850.7823166
2018-07-29;104;21126;821.61119
2018-07-30;244;21708;811.8059701
2018-07-31;291;21275;811.5010576
2018-08-01;279;21405;813.5594487
2018-08-02;1159;20768;819.2281394
2018-08-03;1583;20407;817.2433969
2018-08-04;325;18284;850.2723146
2018-08-05;77;21114;821.8137729
2018-08-06;188;21719;812.2928772
2018-08-07;717;20519;810.029826
2018-08-08;912;20470;814.3709331
2018-08-09;318;21383;809.2937848
2018-08-10;219;21553;806.3902937
2018-08-11;727;17297;847.7326126
2018-08-12;515;20394;818.6863293
2018-08-13;1067;20563;811.8102903
2018-08-14;763;20373;805.2302066
2018-08-15;230;20999;801.9599505
2018-08-16;144;21422;804.7007749
2018-08-17;500;21101;806.5952798
2018-08-18;351;17410;845.4910396
2018-08-19;192;20540;815.3690847
2018-08-20;302;21177;803.7013741
2018-08-21;399;20141;788.6329378
2018-08-22;120;20671;787.6426394
2018-08-23;127;21193;794.4847827
2018-08-24;190;21154;790.5771958
2018-08-25;74;16663;833.1729581
2018-08-26;27;20183;804.2580885
2018-08-27;68;21043;791.3706696
2018-08-28;442;19858;787.2386947
2018-08-29;115;20473;784.7485957
2018-08-30;57;21086;791.1981884
2018-08-31;166;20957;793.1307439
2018-09-01;229;15192;842.4495129
2018-09-02;60;16084;837.2383114
2018-09-03;439;19580;805.5937181
2018-09-04;132;19589;785.356935
2018-09-05;199;19565;785.845745
2018-09-06;475;19751;790.7800618
2018-09-07;505;19805;789.8498359
2018-09-08;177;15840;825.2498106
2018-09-09;78;19888;799.4199517
2018-09-10;143;20728;782.9296604
2018-09-11;133;19783;772.1107517
2018-09-12;213;19987;778.0009506
2018-09-13;580;20410;792.666977
2018-09-14;827;20200;795.3060891
2018-09-15;780;15488;839.0929752
